(Do Not Modify) Task,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Subject,Description,Regarding,Owner,Duration,DueDate,Mo.-Fr. after 6pm,Offsetting to Customer,Saturday,Sunday/Holiday
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/26/17 1:00 PM,,,,
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/27/17 1:00 PM,,,,
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/28/17 1:00 PM,,,,
,,,Preparing network infrastructure for the SDN implementation,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,9/29/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/2/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/4/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/5/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/6/17 1:00 PM,,,,
,,,Hyper-V cluster recovery after the failure,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/7/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/9/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/10/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/11/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/12/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/13/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/16/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/17/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/18/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/19/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/20/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/23/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,10/24/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,10/25/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/26/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,10/27/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,11/2/17 1:00 PM,,,,
,,,Installation and configuratino SDN in datacenter,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,11/6/17 1:00 PM,,,,
